URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/Person","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/security-labels,4.0.1,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/Patient,StructureDefinition/Person",
https://ths-greifswald.de/fhir/ValueSet/dispatcher/IdatElements,2025.2.0,active,,IdatElements,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/epix/BloomfilterType,2025.2.0,draft,,BloomfilterType,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/epix/MatchStatus,2025.2.0,active,,MatchStatus,,"","OperationDefinition/UpdatePatient","Internal"
https://ths-greifswald.de/fhir/ValueSet/epix/SaveAction,2025.2.0,active,,SaveAction,,"","OperationDefinition/AddPatient","Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentComponentType,2025.2.0,active,,ConsentComponentType,,"",,"de.einwilligungsmanagement,Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentPolicyAction,2025.2.0,active,,ConsentPolicyAction,,"",,"Other"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentPolicyActor,2025.2.0,active,,ConsentPolicyActor,,"",,"Other"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentPolicyClass,2025.2.0,active,,ConsentPolicyClass,,"",,"Other"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentPolicyPurpose,2025.2.0,active,,ConsentPolicyPurpose,,"",,"Other"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatus,2025.2.0,active,,ConsentStatus,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatusConsentFullValues,2025.2.0,active,,ConsentStatusConsentFullValues,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatusConsentOptOutFullValues,2025.2.0,active,,ConsentStatusConsentOptOutFullValues,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatusConsentOptOutShortValues,2025.2.0,active,,ConsentStatusConsentOptOutShortValues,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatusConsentShortValues,2025.2.0,active,,ConsentStatusConsentShortValues,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatusObjectionFullValues,2025.2.0,active,,ConsentStatusObjectionFullValues,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatusObjectionShortValues,2025.2.0,active,,ConsentStatusObjectionShortValues,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatusRefusalFullValues,2025.2.0,active,,ConsentStatusRefusalFullValues,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatusRefusalShortValues,2025.2.0,active,,ConsentStatusRefusalShortValues,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatusWithdrawalFullValues,2025.2.0,active,,ConsentStatusWithdrawalFullValues,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/ConsentStatusWithdrawalShortValues,2025.2.0,active,,ConsentStatusWithdrawalShortValues,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/IdMatchingType,2025.2.0,active,,IdMatchingType,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/Policy,2025.2.0,draft,,Policy,,"",,"Internal"
https://ths-greifswald.de/fhir/ValueSet/gics/PolicyStatus,2025.2.0,active,,PolicyStatus,,"",,"THO (V3)"
